Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2014,US,National,245273438,Combustible Tobacco,Cigars,Total Cigars,Cigars,7503592552,6190960000,13694552552,31,25,56
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,37643104,3441405,41084509,0,0,0
2014,US,National,245273438,Combustible Tobacco,Cigars,Large Cigars,Cigars,6961138057,6169557000,13130695057,28,25,54
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,18531989662,1694230154,20226219815,76,7,82
2014,US,National,245273438,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,113664778,702966,114367744,0.463,0.003,0.466
2015,US,National,247773709,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,19352433,858688,20211121,0.078,0.003,0.082
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,39667190,4404935,44072125,0,0,0
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,36192522,4165503,40358025,0,0,0
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3474668,239432,3714100,0,0,0
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,17817856985,2050709169,19868566154,72,8,80
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1710605785,117874215,1828480000,7,0,7
2015,US,National,247773709,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,285537129046,17214155385,302751284431,1152,69,1222
2015,US,National,247773709,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,259720555991,8540221000,268260776991,1048,34,1083
2015,US,National,247773709,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,116987888,583932,117571820,0.472,0.002,0.475
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,19528462769,2168583385,21697046154,79,9,88
2015,US,National,247773709,Combustible Tobacco,Cigars,Total Cigars,Cigars,6288110286,6505351000,12793461286,25,26,52
2015,US,National,247773709,Combustible Tobacco,Cigars,Large Cigars,Cigars,5757429535,6481846000,12239275535,23,26,49
2015,US,National,247773709,Combustible Tobacco,Cigars,Small Cigars,Cigars,530680751,23505000,554185751,2,0,2
2016,US,National,249485228,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,18525163323,2529611323,21054774646,74,10,84
2016,US,National,249485228,Combustible Tobacco,Cigars,Large Cigars,Cigars,5056761893,6974839000,12031600893,20,28,48
2016,US,National,249485228,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,118477707,606334,119084041,0.475,0.002,0.477
2016,US,National,249485228,Combustible Tobacco,Cigars,Small Cigars,Cigars,475333201,21351000,496684201,2,0,2
2016,US,National,249485228,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1446586092,117479385,1564065477,6,0,6
2016,US,National,249485228,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,2938378,238630,3177008,0,0,0
2016,US,National,249485228,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,37629238,5138273,42767511,0,0,0
2016,US,National,249485228,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,18913518,1092411,20005929,0.076,0.004,0.08
2016,US,National,249485228,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,249824734796,7629000000,257453734796,1001,31,1032
2016,US,National,249485228,Combustible Tobacco,Cigars,Total Cigars,Cigars,5532095094,6996190000,12528285094,22,28,50
2016,US,National,249485228,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,34690860,4899643,39590503,0,0,0
2016,US,National,249485228,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,17078577231,2412131938,19490709169,68,10,78
2016,US,National,249485228,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,273881993213,17154801323,291036794536,1098,69,1167
2017,US,National,252063800,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,18479739569,1904036431,20383776000,73,8,81
2017,US,National,252063800,Combustible Tobacco,Cigars,Small Cigars,Cigars,414659792,25198000,439857792,2,0,2
2017,US,National,252063800,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,35074282,3665466,38739748,0,0,0
2017,US,National,252063800,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,17479594,1003775,18483369,0.069,0.004,0.073
2017,US,National,252063800,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,239296509804,7866487000,247162966804,949,31,981
2017,US,National,252063800,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,118596158,549547,119145705,0.471,0.002,0.473
