,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
24,2001,Combustible Tobacco,Cigars,Small Cigars,Cigars,8821278.8259375,276164.6875,9097443.5134375
25,2001,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,862158599.4185938,32998645.71859375,895157245.1371875
26,2002,Combustible Tobacco,Cigars,Small Cigars,Cigars,9131834.473125,386270.625,9518105.098125
27,2002,Combustible Tobacco,Cigars,Large Cigars,Cigars,15044401.88875,2030941.25,17075343.13875
28,2002,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,10567681.0,1084950.0,11652631.0
29,2002,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,10567680.9996875,1084950.00046875,11652631.00015625
30,2002,Combustible Tobacco,Cigars,Total Cigars,Cigars,24176236.361875,2417211.875,26593448.236875
31,2002,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,47095214.0,215769.0,47310983.0
32,2002,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,4627209.0,973090.0,5600299.0
33,2002,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,71242932.0,9827.0,71252759.0
34,2002,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,829366414.6482813,45621826.093593754,874988240.741875
35,2002,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,15194890.0,2058040.0,17252930.0
36,2002,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,4627209.00078125,973089.999375,5600299.00015625
37,2002,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,15194890.000468751,2058039.9998437501,17252930.0003125
38,2002,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,802083406.4668751,42355180.15625,844438586.6231251
39,2003,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,15508342.000937501,1952093.9993750001,17460436.0003125
40,2003,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11353137.0,1254008.0,12607145.0
41,2003,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,45906067.0,174399.0,46080466.0
42,2003,Combustible Tobacco,Cigars,Small Cigars,Cigars,9351763.2325,700249.0625,10052012.295
43,2003,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,4155205.0,698086.0,4853291.0
44,2003,Combustible Tobacco,Cigars,Large Cigars,Cigars,16325250.556875,2090424.375,18415674.931875
45,2003,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,794618810.2064062,50239011.655625,844857821.8620312
46,2003,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,15508342.0,1952094.0,17460436.0
47,2003,Combustible Tobacco,Cigars,Total Cigars,Cigars,25677013.789375,2790673.4375,28467687.226875
48,2003,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,74700715.0,8369.0,74709084.0
49,2003,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,11353137.00015625,1254008.00078125,12607145.000937501
50,2003,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,4155205.00078125,698086.000625,4853290.999375001
51,2003,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,766271961.3107812,46891580.9375,813163542.2482812
52,2004,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,77983437.0,16833.0,78000270.0
53,2004,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,792525579.3020313,49267427.4990625,841793006.8010938
54,2004,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,761673330.4496875,46064234.53125,807737564.9809375
55,2004,Combustible Tobacco,Cigars,Large Cigars,Cigars,17546587.7640625,2500858.75,20047446.5140625
56,2004,Combustible Tobacco,Cigars,Small Cigars,Cigars,10975437.939375,875237.1875,11850675.126875
57,2004,Combustible Tobacco,Cigars,Total Cigars,Cigars,28522025.7034375,3376095.9375,31898121.6409375
58,2004,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,3904810.0,794487.0009375,4699297.0009375
59,2004,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3904810.0,794487.0,4699297.0
60,2004,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,12686426.000625001,720658.00015625,13407084.000781251
61,2004,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,12686426.0,720658.0,13407084.0
